time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2021/11/08/17:20:16.812161,59847,1636388416,811261105,imu_iphone,-0.0793492684157,-0.0763800088221,-0.446882831725,0.887786867758,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.579549193382,-0.106873109937,-1.1638674736,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.395705933869,-2.26803452566,-0.663110507727,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.873433,59848,1636388416,872423062,imu_iphone,-0.0887439432198,-0.0785696622378,-0.462979411563,0.878408438704,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.54088896513,-0.122277759016,-1.09953284264,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.507686545551,-2.54536723316,-0.683087520003,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.877554,59849,1636388416,876985409,imu_iphone,-0.097924159944,-0.0798130498718,-0.478091077787,0.869177575246,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.490885108709,-0.126307830215,-1.02500760555,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.658414535746,-2.797089867,-0.621628605723,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.901355,59850,1636388416,900591867,imu_iphone,-0.106637604656,-0.0800292119531,-0.492275035602,0.860168027673,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.426127135754,-0.125215172768,-0.972327172756,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.805022650883,-3.02108325005,-0.565968375206,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.930705,59851,1636388416,930139217,imu_iphone,-0.114623496785,-0.079189685274,-0.505630310191,0.851427294105,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.35415583849,-0.115879841149,-0.924372017384,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.990275598988,-3.24854286253,-0.509547421932,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.976070,59852,1636388416,975813025,imu_iphone,-0.121640315859,-0.0773096520249,-0.518183557953,0.843037752137,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.266110867262,-0.0932912528515,-0.878311634064,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.14156579897,-3.37283771038,-0.440650264621,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.989865,59853,1636388416,989598188,imu_iphone,-0.127438169132,-0.0745265824954,-0.52982154107,0.835161323439,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.178387910128,-0.0684821158648,-0.823963820934,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.29551056176,-3.46590199471,-0.390039689541,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:17.022692,59854,1636388417,22360531,imu_iphone,-0.131809385597,-0.0710566014401,-0.540388278667,0.827984150536,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.08711604774,-0.036369021982,-0.755907833576,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.4218570514,-3.47344987303,-0.370029348135,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:17.083651,59855,1636388417,82648415,imu_iphone,-0.134649124174,-0.0671558326145,-0.549689446185,0.821706285882,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0039801299572,0.0047898972407,-0.67229282856,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.50041468605,-3.42041504234,-0.344809137583,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:17.092634,59856,1636388417,91936752,imu_iphone,-0.135888160631,-0.0631679892957,-0.557495829518,0.816543087044,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0728845596313,0.0451011694968,-0.566507220268,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",1.53666493803,-3.334951846,-0.353912667632,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
