time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/02/24/13:33:25.061110,2196,1645706005,56585311,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4385, -0.0026999934390286224, 0.0,0.0,",
2022/02/24/13:33:25.104945,2197,1645706005,99186897,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.7812, -0.0026999934390286224, 0.0,0.0,",
2022/02/24/13:33:25.151425,2198,1645706005,148271560,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9984, 0.0015999986346688097, 0.0,0.0,",
2022/02/24/13:33:25.192680,2199,1645706005,190500259,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9972, 0.002799992682701112, 0.0,0.0,",
2022/02/24/13:33:25.246701,2200,1645706005,238197088,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9949, 0.005099955783690031, 0.0,0.0,",
2022/02/24/13:33:25.319259,2201,1645706005,316523790,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9946, 0.005399947512918272, 0.0,0.0,",
2022/02/24/13:33:25.360872,2202,1645706005,359512329,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.99, 0.009999666686665246, 0.0,0.0,",
2022/02/24/13:33:25.402697,2203,1645706005,400539159,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9941, 0.005899931541763163, 0.0,0.0,",
2022/02/24/13:33:25.447075,2204,1645706005,440701723,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9917, 0.008299809412211001, 0.0,0.0,",
2022/02/24/13:33:25.496131,2205,1645706005,493082761,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9898, 0.010199646286079962, 0.0,0.0,",
2022/02/24/13:33:25.538161,2206,1645706005,535418987,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9896, 0.010399625069664476, 0.0,0.0,",
2022/02/24/13:33:25.618698,2207,1645706005,615535020,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9905, 0.009499714223807907, 0.0,0.0,",
2022/02/24/13:33:25.664970,2208,1645706005,661330223,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9922, 0.007799841821774127, 0.0,0.0,",
2022/02/24/13:33:25.715609,2209,1645706005,707441091,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9932, 0.006799895192241133, 0.0,0.0,",
2022/02/24/13:33:25.755555,2210,1645706005,750558137,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9918, 0.008199816218081092, 0.0,0.0,",
2022/02/24/13:33:25.799663,2211,1645706005,795061826,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9944, 0.005599941462434822, 0.0,0.0,",
2022/02/24/13:33:25.844588,2212,1645706005,840485334,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4393, 0.005599941462434822, 0.0,0.0,",
2022/02/24/13:33:25.883574,2213,1645706005,881268501,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9972, 0.002799992682701112, 0.0,0.0,",
2022/02/24/13:33:25.960591,2214,1645706005,957334280,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9953, 0.004699965392792054, 0.0,0.0,",
2022/02/24/13:33:26.003507,2215,1645706006,17642,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4401, 0.004699965392792054, 0.0,0.0,",
2022/02/24/13:33:26.045027,2216,1645706006,42321205,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9991, 0.00089999975700013, 0.0,0.0,",
2022/02/24/13:33:26.086262,2217,1645706006,83146810,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4395, 0.00089999975700013, 0.0,0.0,",
2022/02/24/13:33:26.167730,2218,1645706006,164093732,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0027, -0.0026999934390286224, 0.0,0.0,",
2022/02/24/13:33:26.221180,2219,1645706006,208450555,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0108, -0.010799580125384034, 0.0,0.0,",
2022/02/24/13:33:26.275568,2220,1645706006,262022972,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0036, -0.0035999844481209788, 0.0,0.0,",
2022/02/24/13:33:26.329754,2221,1645706006,314058780,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4385, -0.0035999844481209788, 0.0,0.0,",
2022/02/24/13:33:26.365380,2222,1645706006,361617088,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4404, -0.0035999844481209788, 0.0,0.0,",
2022/02/24/13:33:26.439562,2223,1645706006,436205863,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0052, -0.005199953131427153, 0.0,0.0,",
2022/02/24/13:33:26.512479,2224,1645706006,509790897,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0051, -0.005099955783690142, 0.0,0.0,",
2022/02/24/13:33:26.552573,2225,1645706006,551097631,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0089, -0.008899765021500729, 0.0,0.0,",
2022/02/24/13:33:26.596467,2226,1645706006,593515157,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4395, -0.008899765021500729, 0.0,0.0,",
2022/02/24/13:33:26.643074,2227,1645706006,635862112,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.005, -0.004999958333958216, 0.0,0.0,",
2022/02/24/13:33:26.715404,2228,1645706006,713378667,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4408, -0.004999958333958216, 0.0,0.0,",
2022/02/24/13:33:26.762824,2229,1645706006,755316019,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0043, -0.0042999734979606505, 0.0,0.0,",
2022/02/24/13:33:26.807526,2230,1645706006,802662611,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0019, -0.0018999977136716316, 0.0,0.0,",
2022/02/24/13:33:26.850208,2231,1645706006,847751855,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.0011, -0.0010999995563337563, 0.0,0.0,",
2022/02/24/13:33:26.890615,2232,1645706006,887660026,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4388, -0.0010999995563337563, 0.0,0.0,",
2022/02/24/13:33:26.938583,2233,1645706006,928724765,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9981, 0.0018999977136716316, 0.0,0.0,",
2022/02/24/13:33:27.007891,2234,1645706007,4724264,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],1.7784, 0.0018999977136716316, 0.0,0.0,",
2022/02/24/13:33:27.058256,2235,1645706007,47853708,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],0.9961, 0.003899980227180461, 0.0,0.0,",
2022/02/24/13:33:27.095648,2236,1645706007,92859029,,"['base_to_pipe_x_radar', 'base_to_pipe_y_radar', 'base_to_pipe_z_radar'],2.4397, 0.003899980227180461, 0.0,0.0,",
