time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:24:22.602399,12739,1646846662,601971121,imu_iphone,0.0148721479992,0.0333720206674,-0.883618665058,0.466779586326,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.214737698436,0.0183701738715,-0.191736802459,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.149114012495,0.505530348234,-0.156718828082,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.630302,12740,1646846662,626881902,imu_iphone,0.0122879377126,0.0313341379218,-0.885221033491,0.46395139859,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.229970067739,0.0244109742343,-0.213834062219,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.135225852057,0.402093432248,-0.170717062354,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.659403,12741,1646846662,657645198,imu_iphone,0.00960634278315,0.029222355722,-0.88695973464,0.460821224807,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.234357625246,0.0247283577919,-0.237617298961,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.118557450213,0.299502900727,-0.172744292021,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.691116,12742,1646846662,688763252,imu_iphone,0.00694108504387,0.0271379542256,-0.888821334646,0.457396969663,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.239578634501,0.0247850343585,-0.256641805172,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0915233237296,0.190344301499,-0.189482531548,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.721469,12743,1646846662,720166259,imu_iphone,0.00423575297801,0.0250775066922,-0.890782792516,0.453717085432,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.241543367505,0.0280946567655,-0.272480845451,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0691656541452,0.0842592729069,-0.18722726047,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.748329,12744,1646846662,746361473,imu_iphone,0.00153674110378,0.0230441324281,-0.892811889466,0.449837233247,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.240189895034,0.0269896537066,-0.286047428846,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0630298418552,0.0029241194576,-0.189043405652,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.776116,12745,1646846662,775334626,imu_iphone,-0.00115187924057,0.0210753391865,-0.894894901779,0.445777543201,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.23572717607,0.0301775336266,-0.294347345829,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0561847988516,-0.103690301422,-0.193306610584,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.809556,12746,1646846662,807666134,imu_iphone,-0.00380794892244,0.019200431725,-0.896995665751,0.441605727511,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.233155727386,0.0269585177302,-0.301693677902,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0472749943659,-0.17249351956,-0.186993956566,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.842568,12747,1646846662,840919290,imu_iphone,-0.00644036287692,0.0173948260611,-0.899081790747,0.437387557321,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.224470809102,0.0266657155007,-0.302538752556,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0368384818733,-0.248293844853,-0.185178980827,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:24:22.866726,12748,1646846662,865271318,imu_iphone,-0.00902218644799,0.0156712141091,-0.901116815858,0.433199142863,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.222720533609,0.0297890435904,-0.298744678497,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0373059302196,-0.314467752837,-0.183047670722,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
