time,.header.seq,.header.stamp.secs,secs,,.header.frame_id,.header.stamp.nsecs,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:22:46.094065,9558,1646846536,30.92569181,1646846566.92569,0.0176126762419,0.028793425051,-0.90652520204,0.420800178679,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0383084490895,0.00484006013721,0.0181601382792,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.03275233794,0.462064924501,-0.124439858794,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.127425,9559,1646846536,30.127023332,1646846566.12702,0.0169151439163,0.0284176770727,-0.906471612912,0.420969747749,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0557034723461,0.00485942512751,0.0108509687707,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0296463700756,0.447531268001,-0.118306714296,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.155202,9560,1646846536,30.152619757,1646846566.15262,0.0160593025688,0.0279171546914,-0.906477272975,0.421024565619,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0669440552592,0.00390696898103,0.00319998571649,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0206141760573,0.431950192451,-0.124533998966,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.183921,9561,1646846536,30.182495282,1646846566.1825,0.0150627254079,0.0273570660167,-0.906530666012,0.420983202542,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0784633755684,0.00549325719476,-0.00483797909692,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.016530992277,0.395222771131,-0.125264316201,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.213596,9562,1646846536,30.213167776,1646846566.21317,0.0139419257489,0.026707567244,-0.906651024226,0.420804288034,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0869957357645,0.00858795549721,-0.0152545711026,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0240781762451,0.350852161869,-0.123638205528,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.244825,9563,1646846536,30.244502554,1646846566.2445,0.01273179175,0.0259970850859,-0.906843119047,0.42047307938,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0952415019274,0.00661732442677,-0.0249626059085,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0171209397912,0.307920954376,-0.12316808939,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.275475,9564,1646846536,30.272102117,1646846566.2721,0.011424084279,0.0252480215465,-0.907104486431,0.419992236123,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0998555570841,0.00569237396121,-0.0351559855044,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0082324776426,0.263325812034,-0.122843568921,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.304324,9565,1646846536,30.301838013,1646846566.30184,0.0100718025891,0.0244545291433,-0.907421253602,0.41938908344,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.106125190854,0.00812629889697,-0.0451624728739,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00163276188076,0.205549364537,-0.12733715415,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.332531,9566,1646846536,30.331589664,1646846566.33159,0.0086933692983,0.0236216240252,-0.907794431804,0.418659424585,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.108824186027,0.0097949327901,-0.052309691906,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00993873171508,0.152774259858,-0.128139392138,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:46.371482,9567,1646846536,30.371006293,1646846566.37101,0.00728709908432,0.0227964707285,-0.908216937067,0.417814808659,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.108816221356,0.00899797771126,-0.0605164207518,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0016975928843,0.106261852048,-0.129491853118,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
